Name,_
String,Boolean
Anu Kurikka,
Ari Hamara,
Ármann Árnason,
Ashley St Germain,
Ayush Gupta,
Camilla Avellar,
Deniz Kural,
Diana Nedelcu,
Francisco Granados,
Henrik Enqvist,
Joanna Jakubowska,
Lavinia Macovei,
Liangde Chen,
Marcus Wagenfuhr,
Mauro de Freitas,
Maya Hofree,
Nadya Volchetskaya,
Neza Glavic,
Peter McLaughlin,
Sari Latvala,
Stanislav Stankovic,
Stefan Hauk,
Toni Kontinen,
Vesa Vitie,
Visa Forsten,
Wesley Pijpers,
Xuhui Chen,
Yasin Hatiboglu,
_,
Agnes Liou,
Ali Tunc,
Antti Sartanen,
Antti Summala,
Arto Tervo,
Asko Puurula,
Cosmin Baltaretu,
Daniel Iosca,
Dennis Belfrage,
Diego Ruiz Pomares,
Drussila Hollanda,
Erlend Christoffersen,
Ewan Thonger,
Hannu Halonen,
Henri Viitanen,
Jaana Heiska,
Jani Lintunen,
Janne Lindholm,
Jari Sukanen,
Jarkko Luoma,
Jarkko Salminen,
Jeffrey Feenstra,
Joakim Achrén,
Johannes Cole,
Jon Franzas,
Jonatas Chagas,
Jussi Viiri,
Lasse Seppänen,
Laura Gilliland,
Marika Appel,
Martin Schjoeler,
Mika Seppä,
Miki Kuusi,
Mikko Hokkanen,
Mikko Kodisoja,
Mikko Lehtonen,
Nacho Lasheras,
Nicklas Renqvist,
Niko Mäkelä,
Patrick Corander,
Petri Alanko,
Petri Kärkäs,
Petri Styrman,
Rebecca Green,
Riku Rikala,
Sami Tikkanen,
Sami Yliharju,
Sheila Njoki Ndungu,
Stefan Engblom,
Stephan Demirdjian,
Stuart McGaw,
Thea Chow,
Tibor Toth,
Timur Haussila,
Tomi Joki-Korpela,
Tommi Hakala,
Touko Tahkokallio,
Veli Vainio,
Victoria Tran,
Wayne Lu ZhongWei,
Zsolt Szász,
